X1,X2
7.700669237,2.152652506
7.202561597,1.75287382
6.707436266,1.740465087
7.236671285,1.747409312
7.173864914,3.245240479
7.522674822,1.804385881
7.720728353,1.755154776
5.777125279,1.395148213
5.877524847,1.78909191
7.011051028,3.005862387
7.196156424,1.868539683
7.497643349,0.673318815
7.141368735,2.462519116
6.112848253,2.686252426
7.203097844,1.750827252
7.37966912,3.362415715
7.109119753,2.148932352
6.72438346,1.490093378
7.49820149,1.486349704
7.042939742,1.713405532
7.287387895,2.200197263
7.622523967,1.693990161
6.838075039,1.412741771
6.733424044,2.226380296
